Date,Open,High,Low,Close,Volume,Currency,Name,Symbol
2016-07-28,1.6,2.11,1.36,1.68,890279.0,USD,Ethereum Classic,ETC
2016-07-29,1.68,1.79,1.52,1.64,696558.0,USD,Ethereum Classic,ETC
2016-07-30,1.64,1.7,1.55,1.57,290616.0,USD,Ethereum Classic,ETC
2016-07-31,1.57,1.92,1.41,1.79,777390.0,USD,Ethereum Classic,ETC
2016-08-01,1.79,2.29,1.7,2.29,1407690.0,USD,Ethereum Classic,ETC
2016-08-02,2.29,3.64,2.07,2.6,3310048.0,USD,Ethereum Classic,ETC
2016-08-03,2.6,3.2,2.18,2.56,694253.0,USD,Ethereum Classic,ETC
2016-08-04,2.56,2.77,2.1,2.28,325465.0,USD,Ethereum Classic,ETC
2016-08-05,2.28,2.65,2.28,2.56,206961.0,USD,Ethereum Classic,ETC
2016-08-06,2.56,2.88,2.5,2.67,241592.0,USD,Ethereum Classic,ETC
2016-08-07,2.67,2.76,2.07,2.1,356906.0,USD,Ethereum Classic,ETC
2016-08-08,2.1,2.4,1.95,2.13,315597.0,USD,Ethereum Classic,ETC
2016-08-09,2.13,2.3,1.72,1.93,362850.0,USD,Ethereum Classic,ETC
2016-08-10,1.93,2.06,1.6,1.69,523807.0,USD,Ethereum Classic,ETC
2016-08-11,1.69,1.96,1.56,1.86,509012.0,USD,Ethereum Classic,ETC
2016-08-12,1.86,2.09,1.81,1.82,452748.0,USD,Ethereum Classic,ETC
2016-08-13,1.82,1.92,1.81,1.86,149604.0,USD,Ethereum Classic,ETC
2016-08-14,1.86,1.99,1.86,1.92,287587.0,USD,Ethereum Classic,ETC
2016-08-15,1.92,2.0,1.85,1.86,316592.0,USD,Ethereum Classic,ETC
2016-08-16,1.86,1.89,1.8,1.86,129738.0,USD,Ethereum Classic,ETC
2016-08-17,1.86,1.88,1.71,1.74,250186.0,USD,Ethereum Classic,ETC
2016-08-18,1.74,1.78,1.63,1.69,198680.0,USD,Ethereum Classic,ETC
2016-08-19,1.69,1.8,1.61,1.75,321845.0,USD,Ethereum Classic,ETC
2016-08-20,1.75,1.76,1.69,1.74,109836.0,USD,Ethereum Classic,ETC
2016-08-21,1.74,1.77,1.7,1.71,54628.0,USD,Ethereum Classic,ETC
2016-08-22,1.71,1.74,1.62,1.66,271283.0,USD,Ethereum Classic,ETC
2016-08-23,1.66,1.68,1.57,1.61,380035.0,USD,Ethereum Classic,ETC
2016-08-24,1.61,1.79,1.42,1.47,407435.0,USD,Ethereum Classic,ETC
2016-08-25,1.47,1.47,1.26,1.38,958553.0,USD,Ethereum Classic,ETC
2016-08-26,1.38,1.46,1.32,1.43,599753.0,USD,Ethereum Classic,ETC
2016-08-27,1.43,1.46,1.34,1.36,266985.0,USD,Ethereum Classic,ETC
2016-08-28,1.36,1.36,1.3,1.36,442968.0,USD,Ethereum Classic,ETC
2016-08-29,1.36,1.36,1.24,1.24,535718.0,USD,Ethereum Classic,ETC
2016-08-30,1.24,1.31,1.15,1.24,1204173.0,USD,Ethereum Classic,ETC
2016-08-31,1.24,1.27,1.16,1.19,547994.0,USD,Ethereum Classic,ETC
2016-09-01,1.19,1.49,1.17,1.48,1267114.0,USD,Ethereum Classic,ETC
2016-09-02,1.48,1.48,1.37,1.4,458773.0,USD,Ethereum Classic,ETC
2016-09-03,1.4,1.41,1.32,1.36,148458.0,USD,Ethereum Classic,ETC
2016-09-04,1.36,1.45,1.3,1.44,286354.0,USD,Ethereum Classic,ETC
2016-09-05,1.44,1.55,1.44,1.46,206497.0,USD,Ethereum Classic,ETC
2016-09-06,1.46,1.5,1.44,1.48,221336.0,USD,Ethereum Classic,ETC
2016-09-07,1.48,1.49,1.45,1.48,281174.0,USD,Ethereum Classic,ETC
2016-09-08,1.48,1.54,1.46,1.47,126145.0,USD,Ethereum Classic,ETC
2016-09-09,1.47,1.47,1.38,1.41,216285.0,USD,Ethereum Classic,ETC
2016-09-10,1.41,1.45,1.4,1.42,148242.0,USD,Ethereum Classic,ETC
2016-09-11,1.42,1.43,1.33,1.34,695958.0,USD,Ethereum Classic,ETC
2016-09-12,1.34,1.35,1.31,1.33,207861.0,USD,Ethereum Classic,ETC
